% b (um)                                          ,w (um)                                            ,Ef (eV)                                           ,freq (THz)                                        ,S11 (1)                                           ,Absorptance (1)
4.706,13.157,0.44831,1.6,0.5807671254375864-0.17015683789324998j           ,0.633756197
4.706,13.157,0.44831,1.7,0.5089251119953174-0.28076669849005076j           ,0.662165291
4.706,13.157,0.44831,1.8,0.4141478316828161-0.36869666364739156j           ,0.692544344
4.706,13.157,0.44831,1.9,0.30307083475628716-0.42784760495722246j          ,0.725094496
4.706,13.157,0.44831,2,0.18470425692087367-0.4540502677641278j           ,0.759722692
4.706,13.157,0.44831,2.1,0.06990246385925208-0.44631993668384606j          ,0.79591216
4.706,13.157,0.44831,2.2,-0.029961667697875866-0.40803945662616486j        ,0.8326061
4.706,13.157,0.44831,2.3,-0.10521799603010776-0.34748886220402736j         ,0.868180664
4.706,13.157,0.44831,2.4,-0.15062143049738824-0.276967632834556j           ,0.900602115
4.706,13.157,0.44831,2.5,-0.1674858754207181-0.21007493088230267j          ,0.927817005
4.706,13.157,0.44831,2.6,-0.1638089866726159-0.157720016531878j            ,0.948291012
4.706,13.157,0.44831,2.7,-0.15169053346772315-0.12459618308027011j         ,0.961465773
4.706,13.157,0.44831,2.8,-0.14296618940099678-0.10801806026332682j         ,0.967892767
4.706,13.157,0.44831,2.9,-0.14517992214350184-0.09971071084258483j         ,0.968980564
4.706,13.157,0.44831,3,-0.15966028551078187-0.08939815847883285j         ,0.966516562
4.706,13.157,0.44831,3.1,-0.18200502671415622-0.0683591823521789j          ,0.962201192
4.706,13.157,0.44831,3.2,-0.20407917969629144-0.03173095816006142j         ,0.957344835
4.706,13.157,0.44831,3.3,-0.2164022947004656+0.020648986314440083j         ,0.952743666
4.706,13.157,0.44831,3.4,-0.21022355080156616+0.08446000823400827j         ,0.948672566
4.706,13.157,0.44831,3.5,-0.1790830047358644+0.15167931521058634j          ,0.944922663
4.706,13.157,0.44831,3.6,-0.11994536540081811+0.21160988621351462j         ,0.940834365
4.706,13.157,0.44831,3.7,-0.03406190297016379+0.2520607198417562j          ,0.93530518
4.706,13.157,0.44831,3.8,0.07235050139724697+0.2607496705539434j           ,0.926775014
4.706,13.157,0.44831,3.9,0.1876689808843622+0.22708589685586522j           ,0.913212349
4.706,13.157,0.44831,4,0.2949209736603816+0.14447848404040217j           ,0.892147587
4.706,13.157,0.44831,4.1,0.37282938748237743+0.013152710834950142j         ,0.860825254
4.706,13.157,0.44831,4.2,0.39850187763917916-0.15695199341043659j          ,0.816562325
4.706,13.157,0.44831,4.3,0.3522607362434731-0.34429615308377803j           ,0.757372533
4.706,13.157,0.44831,4.4,0.22427180286429585-0.5166218221309897j           ,0.682804051
4.706,13.157,0.44831,4.5,0.021034310637638005-0.6362647929246539j          ,0.594724671
4.706,13.157,0.44831,4.6,-0.2317525031282652-0.669837997677178j            ,0.497607834
4.706,13.157,0.44831,4.7,-0.4930737415318665-0.599122062701787j            ,0.397931039
4.706,13.157,0.44831,4.8,-0.7170738212317612-0.42785814500077674j          ,0.302742543
4.706,13.157,0.44831,4.9,-0.8656537985532271-0.1806623112240557j           ,0.21800463
4.706,13.157,0.44831,5,-0.917327576375101+0.10507896372667244j           ,0.147468529
3.2283,11.404,0.059864,0.1,-0.9663980745341852+0.25352148660500307j          ,0.001801617
3.2283,11.404,0.059864,0.2,-0.8680647206144197+0.4891230719274094j           ,0.007222261
3.2283,11.404,0.059864,0.3,-0.7122660197693675+0.6901889484705263j           ,0.016316332
3.2283,11.404,0.059864,0.4,-0.5105489905698504+0.8426993544512581j           ,0.029197526
3.2283,11.404,0.059864,0.5,-0.27794402965598175+0.9363331696091605j          ,0.046027312
3.2283,11.404,0.059864,0.6,-0.031890910146768266+0.9654391068389433j         ,0.066910301
3.2283,11.404,0.059864,0.7,0.20924321056460912+0.9298113446113435j           ,0.091668142
3.2283,11.404,0.059864,0.8,0.42815786328842614+0.8349406410163647j           ,0.11955497
3.2283,11.404,0.059864,0.9,0.6108273027215313+0.6912128776910837j            ,0.149114764
3.2283,11.404,0.059864,1,0.7480513633641487+0.5118924875069066j            ,0.178385239
3.2283,11.404,0.059864,1.1,0.8355084634488658+0.3106420494361588j            ,0.205427125
3.2283,11.404,0.059864,1.2,0.8724488488122372+0.09983106130568509j           ,0.228866765
3.2283,11.404,0.059864,1.3,0.860125135581927-0.10977761389500545j            ,0.248133627
3.2283,11.404,0.059864,1.4,0.800937235272919-0.30846330533905647j            ,0.263349934
3.2283,11.404,0.059864,1.5,0.6984306106456772-0.48697135567146327j           ,0.275053581
3.2283,11.404,0.059864,1.6,0.5577140383208878-0.6364095208092527j            ,0.283937973
3.2283,11.404,0.059864,1.7,0.38583835005254147-0.7486286053639758j           ,0.290683979
3.2283,11.404,0.059864,1.8,0.1918908909540076-0.8168861721864411j            ,0.295874868
3.2283,11.404,0.059864,1.9,-0.013261242030397635-0.8365803484215268j         ,0.29995746
3.2283,11.404,0.059864,2,-0.21755837019285557-0.805884712025393j           ,0.303218186
3.2283,11.404,0.059864,2.1,-0.40859934659700864-0.7261450258880949j          ,0.305759975
3.2283,11.404,0.059864,2.2,-0.5746342440100689-0.6019214483209498j           ,0.307486056
3.2283,11.404,0.059864,2.3,-0.7055087237755706-0.44062340791654453j          ,0.308108453
3.2283,11.404,0.059864,2.4,-0.7933317884459473-0.25181393042359645j          ,0.307214418
3.2283,11.404,0.059864,2.5,-0.8327414365066388-0.04642919808209824j          ,0.304386029
3.2283,11.404,0.059864,2.6,-0.8208688248128254+0.16381584457806914j          ,0.299338742
3.2283,11.404,0.059864,2.7,-0.7572883706178575+0.36674180525464156j          ,0.292014772
3.2283,11.404,0.059864,2.8,-0.6441905027013526+0.5499405492983179j           ,0.282583988
3.2283,11.404,0.059864,2.9,-0.486728022297937+0.7012339074245904j            ,0.271366839
3.2283,11.404,0.059864,3,-0.2932630953441518+0.8094840272941142j           ,0.258732366
3.2283,11.404,0.059864,3.1,-0.07525470448447776+0.8656284560583173j          ,0.245024106
3.2283,11.404,0.059864,3.2,0.15329183423129247+0.8636966782758225j           ,0.230529661
3.2283,11.404,0.059864,3.3,0.3767498957045365+0.8016093120638628j            ,0.215482027
3.2283,11.404,0.059864,3.4,0.5790368897801113+0.6816453614427243j            ,0.200075881
3.2283,11.404,0.059864,3.5,0.74489803089583+0.5105333980950042j              ,0.184482573
3.2283,11.404,0.059864,3.6,0.8611915175413447+0.29914988609428084j           ,0.168858516
3.2283,11.404,0.059864,3.7,0.9180556750193728+0.061835315767270034j          ,0.153350171
3.2283,11.404,0.059864,3.8,0.9098442823563788-0.18462699998257767j           ,0.138096253
3.2283,11.404,0.059864,3.9,0.8357307776248288-0.4222862504533682j            ,0.12322839
3.2283,11.404,0.059864,4,0.6999130774753651-0.6334431283216387j            ,0.108871487
3.2283,11.404,0.059864,4.1,0.5113910906646977-0.8020831682226186j            ,0.095141744
3.2283,11.404,0.059864,4.2,0.2833263422602931-0.9151952366285815j            ,0.082143863
3.2283,11.404,0.059864,4.3,0.032036746549256215-0.9638497559271028j          ,0.069967295
3.2283,11.404,0.059864,4.4,-0.2242844844686073-0.9439336952926253j           ,0.058685649
3.2283,11.404,0.059864,4.5,-0.4670016093488852-0.8564766308940307j           ,0.048357278
3.2283,11.404,0.059864,4.6,-0.6784893924293556-0.7075483370211038j           ,0.039027495
3.2283,11.404,0.059864,4.7,-0.8434803846064562-0.5077515144052864j           ,0.03072924
3.2283,11.404,0.059864,4.8,-0.9501998777391384-0.2713649404606689j           ,0.023481261
3.2283,11.404,0.059864,4.9,-0.9912030410269648-0.0152155648155893j           ,0.017285018
3.2283,11.404,0.059864,5,-0.9638527913991535+0.24262041831926365j          ,0.012123129
3.3932,10.881,0.3326,0.1,-0.9630354240083521+0.25218094909650973j          ,0.008967541
3.3932,10.881,0.3326,0.2,-0.8577701912211579+0.479546005871343j            ,0.034265927
